County,Municipality,Neighborhood,Population,White,WhiteRate,Black,BlackRate,Hispanic,HispanicRate,Over5,OtherThanEnglish,OtherThanEnglishRate,EnglishNotWell,EnglishNotWellRate,DI,Families,Poverty,PovertyRate,TractHH,Assistance,AssistanceRate,MedianIncome,Uninsured,UninsuredRate,Over25,HSGraduates,GraduationRate,VacantHousing,VacancyRate,AgeUnder5,AgeUnder5Rate,Age5to9,Age5to9Rate,Age10to14,Age10to14Rate,Age15to19,Age15to19Rate,Age20to24,Age20to24Rate,Age25to29,Age25to29Rate,Age30to34,Age30to34Rate,Age35to39,Age35to39Rate,Age40to44,Age40to44Rate,Age45to49,Age45to49Rate,Age50to54,Age50to54Rate,Age55to59,Age55to59Rate,Age60to64,Age60to64Rate,Age65to69,Age65to69Rate,Age70to74,Age70to74Rate,Age75to79,Age75to79Rate,Age80to84,Age80to84Rate,Age85andover,Age85andoverRate,Households,TwoParentHH,TwoParentRate,SingleParentHH,SingleParentRate,CoupleNoKids,CoupleNoKidsRate,SingleAdult,SingleRate,Over1,SameHomeLastYear,SameHomeRate,SameMetroLastYear,SameMetroRate,USLastYear,USLastYearRate,AbroadLastYear,AbroadRate,ShootingsTotal,ShootingsYouth,ShootingRateTotal,ShootingRateYouth,Children,HospitalAdmissions,HospitalAdmissionRate,HospitalPatients,HospitalPatientRate,AsthmaAdmissions,AsthmaAdmissionRate,AsthmaPatients,AsthmaPatientRate,DiabetesAdmissions,DiabetesAdmissionRate,DiabetesPatients,DiabetesPatientRate,MHAdmissions,MHAdmissionRate,MHPatients,MHPatientRate,AsthmaRegistry,AsthmaRegistryRate,DiabetesRegistry,DiabetesRegistryRate,GenPedsRegistry,GenPedsRegistryRate
Hamilton,Cincinnati,College Hill,15381,5347,0.348,9000,0.585,175,0.011,14476,523,0.036,33,0.002,0.346,3664,618,0.169,6900,1125,0.163,49349,921,0.06,10837,9874,0.911,368,0.052,905,0.059,554.1161999999999,0.036,1265,0.082,1074,0.07,746,0.049,1055,0.069,1158,0.075,763,0.05,731,0.048,796,0.052,1414,0.092,944,0.061,1184,0.077,815,0.053,597,0.039,391,0.025,307,0.02,681,0.044,6761,784,0.116,982,0.145,1369,0.202,3627,0.536,15238,12720,0.835,2061,0.135,439,0.029,18,0.001,12.5,1.5,0.08,0.04,3430,203.5,5.9,145.5,4.2,23.5,0.7,20.5,0.6,1.5,0,1.5,0,30.5,0.9,22,0.6,468,13.6,12,0.3,761,22.2
Hamilton,Cincinnati,Columbia Tusculum,1331,1179,0.886,45,0.034,79,0.059,1213,30,0.025,0,0,0.191,300,0,0,715,34,0.048,107305,41,0.031,1052,1052,1,100,0.123,118,0.089,14,0.011,62,0.047,46,0.035,39,0.029,208,0.156,134,0.101,198,0.149,43,0.032,68,0.051,29,0.022,111,0.083,170,0.128,69,0.052,22,0.017,0,0,0,0,0,0,715,120,0.168,17,0.024,191,0.267,387,0.541,1306,1121,0.858,90,0.069,95,0.073,0,0,0,0,0,0,240,6.5,2.7,6,2.5,0.5,0.2,0.5,0.2,0,0,0,0,0.5,0.2,0.5,0.2,19,7.9,0,0,2,0.8
Hamilton,Cincinnati,Corryville,4593,3139,0.683,486,0.106,158,0.034,4381,638,0.146,193,0.044,0.446,289,45,0.156,1936,99,0.051,28518,165,0.036,1468,1249,0.851,231,0.106,212,0.046,35,0.008,64,0.014,601,0.131,2213,0.482,356,0.078,278,0.061,244,0.053,40,0.009,163,0.035,80,0.017,196,0.043,62,0.013,24,0.005,12,0.003,0,0,0,0,13,0.003,1944,86,0.044,29,0.015,346,0.178,1483,0.763,4490,1858,0.414,1564,0.348,986,0.22,82,0.018,3,0,0.07,0,313,25,8,21,6.7,0.5,0.2,0.5,0.2,1,0.3,1,0.3,5.5,1.8,4,1.3,18,5.8,0,0,38,12.1
Hamilton,Cincinnati,Downtown,5536,3970,0.717,764,0.138,140,0.025,5382,574,0.107,8,0.001,0.238,754,30,0.04,3242,410,0.127,97105,193,0.035,4813,4656,0.967,428,0.108,154,0.028,64,0.012,0,0,0,0,505,0.091,1627,0.294,913,0.165,520,0.094,174,0.031,202,0.036,265,0.048,254,0.046,331,0.06,223,0.04,187,0.034,57,0.01,42,0.008,18,0.003,3521,133,0.038,28,0.008,1063,0.302,2297,0.652,5516,3281,0.595,1317,0.239,855,0.155,63,0.011,16,0.5,0.29,0.23,218,5.5,2.5,5,2.3,0.5,0.2,0.5,0.2,0,0,0,0,0.5,0.2,0.5,0.2,15,6.9,0,0,21,9.6
Hamilton,Cincinnati,East End,1430,1188,0.831,11,0.008,49,0.034,1381,93,0.067,5,0.004,0.275,396,33,0.083,707,85,0.12,88534,108,0.076,1223,1109,0.907,92,0.115,49,0.034,38,0.027,50,0.035,61,0.043,9,0.006,233,0.163,138,0.097,82,0.057,101,0.071,86,0.06,79,0.055,90,0.063,100,0.07,123,0.086,56,0.039,66,0.046,58,0.041,11,0.008,707,46,0.065,41,0.058,331,0.468,289,0.409,1415,1282,0.906,108,0.076,25,0.018,0,0,0,0,0,0,161,9.5,5.9,8,5,0,0,0,0,0.5,0.3,0.5,0.3,2,1.2,1.5,0.9,18,11.2,0,0,14,8.7
Hamilton,Cincinnati,East Price Hill,15908,7270,0.457,6155,0.387,2523,0.159,14316,2238,0.156,904,0.063,0.557,3431,1074,0.313,6027,1831,0.304,39713,2583,0.162,9606,7600,0.791,1133,0.157,1592,0.1,1180,0.074,1487,0.093,1078,0.068,965,0.061,1118,0.07,1434,0.09,913,0.057,779,0.049,746,0.047,954,0.06,1173,0.074,679,0.043,982,0.062,383,0.024,252,0.016,147,0.009,46,0.003,6082,922,0.152,674,0.111,1367,0.225,3119,0.513,15536,13822,0.89,1472,0.095,204,0.013,38,0.002,23.5,3,0.15,0.06,5021,244,4.9,199.5,4,22,0.4,17.5,0.3,3,0.1,3,0.1,41.5,0.8,30,0.6,556,11.1,18,0.4,919,18.3
Hamilton,Cincinnati,East Walnut Hills,4232,3138,0.741,638,0.151,182,0.043,4098,333,0.081,0,0,0.236,813,30,0.037,2467,104,0.042,75608,83,0.02,3509,3362,0.958,183,0.068,134,0.032,93,0.022,179,0.042,91,0.022,226,0.053,500,0.118,504,0.119,358,0.085,224,0.053,99,0.023,180,0.043,219,0.052,336,0.079,270,0.064,380,0.09,206,0.049,105,0.025,128,0.03,2500,135,0.054,78,0.031,595,0.238,1692,0.677,4232,3569,0.843,504,0.119,155,0.037,4,0.001,0,0,0,0,468,18.5,4,15.5,3.3,0.5,0.1,0.5,0.1,0,0,0,0,1,0.2,1,0.2,31,6.6,1,0.2,37,7.9
Hamilton,Cincinnati,East Westwood,2510,338,0.135,2140,0.853,0,0,2398,60,0.025,0,0,0.568,518,159,0.307,1312,491,0.374,22528,577,0.23,1744,1337,0.767,246,0.164,112,0.045,263,0.105,147,0.059,102,0.041,142,0.057,82,0.033,195,0.078,127,0.051,39,0.016,174,0.069,182,0.073,192,0.076,273,0.109,242,0.096,127,0.051,47,0.019,47,0.019,17,0.007,1258,93,0.074,144,0.114,181,0.144,840,0.668,2436,2149,0.882,260,0.107,27,0.011,0,0,5.5,0.5,0.22,0.09,573,24.5,4.3,23,4,4,0.7,4,0.7,1,0.2,1,0.2,1.5,0.3,1,0.2,86,15,1,0.2,205,35.8
Hamilton,Cincinnati,English Woods,396,88,0.222,226,0.571,58,0.146,326,58,0.178,11,0.034,0.504,56,56,1,201,45,0.222,10257,0,0,187,129,0.69,30,0.128,70,0.177,36,0.091,52,0.131,33,0.083,18,0.045,36,0.091,11,0.028,27,0.068,11,0.028,0,0,0,0,49,0.124,44,0.111,9,0.023,0,0,0,0,0,0,0,0,205,0,0,56,0.273,0,0,149,0.727,363,221,0.609,98,0.27,44,0.121,0,0,4.5,0,1.14,0,179,21.5,12,14.5,8.1,2.5,1.4,2.5,1.4,0,0,0,0,4,2.2,3,1.7,34,19,0,0,135,75.4
Hamilton,Cincinnati,Evanston,8042,3321,0.413,4126,0.513,323,0.04,7707,799,0.104,124,0.016,0.266,1393,123,0.088,3131,470,0.15,59048,476,0.059,4725,4197,0.888,783,0.203,335,0.042,170,0.021,434,0.054,1555,0.193,823,0.102,501,0.062,492,0.061,322,0.04,175,0.022,671,0.083,485,0.06,387,0.048,435,0.054,353,0.044,326,0.041,263,0.033,185,0.023,130,0.016,3079,222,0.072,316,0.103,632,0.205,1909,0.62,7972,6333,0.794,851,0.107,766,0.096,22,0.003,6.5,0.5,0.08,0.04,1238,92.5,7.5,73.5,5.9,17,1.4,15,1.2,3.5,0.3,3.5,0.3,21.5,1.7,12,1,238,19.2,9,0.7,413,33.4
