County,Municipality,Neighborhood,Population,White,WhiteRate,Black,BlackRate,Hispanic,HispanicRate,Over5,OtherThanEnglish,OtherThanEnglishRate,EnglishNotWell,EnglishNotWellRate,DI,Families,Poverty,PovertyRate,TractHH,Assistance,AssistanceRate,MedianIncome,Uninsured,UninsuredRate,Over25,HSGraduates,GraduationRate,VacantHousing,VacancyRate,AgeUnder5,AgeUnder5Rate,Age5to9,Age5to9Rate,Age10to14,Age10to14Rate,Age15to19,Age15to19Rate,Age20to24,Age20to24Rate,Age25to29,Age25to29Rate,Age30to34,Age30to34Rate,Age35to39,Age35to39Rate,Age40to44,Age40to44Rate,Age45to49,Age45to49Rate,Age50to54,Age50to54Rate,Age55to59,Age55to59Rate,Age60to64,Age60to64Rate,Age65to69,Age65to69Rate,Age70to74,Age70to74Rate,Age75to79,Age75to79Rate,Age80to84,Age80to84Rate,Age85andover,Age85andoverRate,Households,TwoParentHH,TwoParentRate,SingleParentHH,SingleParentRate,CoupleNoKids,CoupleNoKidsRate,SingleAdult,SingleRate,Over1,SameHomeLastYear,SameHomeRate,SameMetroLastYear,SameMetroRate,USLastYear,USLastYearRate,AbroadLastYear,AbroadRate,ShootingsTotal,ShootingsYouth,ShootingRateTotal,ShootingRateYouth,Children,HospitalAdmissions,HospitalAdmissionRate,HospitalPatients,HospitalPatientRate,AsthmaAdmissions,AsthmaAdmissionRate,AsthmaPatients,AsthmaPatientRate,DiabetesAdmissions,DiabetesAdmissionRate,DiabetesPatients,DiabetesPatientRate,MHAdmissions,MHAdmissionRate,MHPatients,MHPatientRate,AsthmaRegistry,AsthmaRegistryRate,DiabetesRegistry,DiabetesRegistryRate,GenPedsRegistry,GenPedsRegistryRate
Hamilton,Cincinnati,Mt. Lookout,5420,4761,0.878,54,0.01,180,0.033,5036,136,0.027,25,0.005,0.116,1385,9,0.006,2315,42,0.018,167957,219,0.04,3749,3728,0.994,44,0.019,384,0.071,334,0.062,320,0.059,348,0.064,285,0.053,289,0.053,474,0.087,566,0.104,285,0.053,366,0.068,342,0.063,225,0.042,271,0.05,443,0.082,143,0.026,219,0.04,99,0.018,27,0.005,2332,497,0.213,77,0.033,901,0.386,857,0.367,5303,4674,0.881,451,0.085,175,0.033,3,0.001,0,0,0,0,1193,39,3.3,32,2.7,1.5,0.1,1.5,0.1,0,0,0,0,2,0.2,2,0.2,68,5.7,2,0.2,5,0.4
Hamilton,Cincinnati,Mt. Washington,12754,10872,0.852,949,0.074,165,0.013,12079,400,0.033,27,0.002,0.249,3060,281,0.092,5807,734,0.126,74221,308,0.024,8508,8035,0.944,242,0.04,675,0.053,842.2347,0.066,765,0.06,1049,0.082,914,0.072,834,0.065,918,0.072,747,0.059,1086,0.085,998,0.078,794,0.062,747,0.059,649,0.051,688,0.054,445,0.035,320,0.025,134,0.01,148,0.012,5878,1238,0.211,286,0.049,1365,0.232,2988,0.508,12619,10782,0.854,1478,0.117,358,0.028,0,0,1.5,0,0.01,0,2882,79,2.7,56.5,2,1.5,0.1,1.5,0.1,0.5,0,0.5,0,14,0.5,8,0.3,177,6.1,8,0.3,114,4
Hamilton,Cincinnati,North Avondale-Paddock Hills,4333,2415,0.557,1666,0.384,82,0.019,4136,302,0.073,0,0,0.207,1120,22,0.02,2077,396,0.191,63485,25,0.006,3194,3012,0.943,295,0.127,197,0.045,190,0.044,274,0.063,146,0.034,332,0.077,417,0.096,167,0.039,111,0.026,275,0.063,302,0.07,175,0.04,238,0.055,413,0.095,620,0.143,284,0.066,102,0.024,59,0.014,31,0.007,2037,261,0.128,77,0.038,571,0.28,1128,0.554,4270,3655,0.856,557,0.13,58,0.014,0,0,5,1,0.12,0.13,778,44,5.7,35.5,4.6,5.5,0.7,4.5,0.6,1,0.1,1,0.1,7,0.9,6,0.8,112,14.4,4,0.5,191,24.6
Hamilton,Cincinnati,North Fairmount,1769,244,0.138,1190,0.673,6,0.003,1611,20,0.012,0,0,0.504,503,88,0.175,819,181,0.222,35123,265,0.15,1122,928,0.827,102,0.109,158,0.089,17,0.01,123,0.07,217,0.123,132,0.075,61,0.034,148,0.084,392,0.222,29,0.016,61,0.034,105,0.059,65,0.037,60,0.034,65,0.037,94,0.053,10,0.006,11,0.006,21,0.012,835,36,0.043,133,0.159,110,0.132,556,0.666,1769,1367,0.773,328,0.185,74,0.042,0,0,3.5,0.5,0.2,0.13,374,45.5,12.2,29.5,7.9,3,0.8,3,0.8,1,0.3,1,0.3,12,3.2,8,2.1,105,28.1,1,0.3,216,57.8
Hamilton,Cincinnati,Northside,8200,6102,0.744,1602,0.195,118,0.014,7645,353,0.046,0,0,0.297,1761,159,0.09,4049,457,0.113,69763,644,0.079,6301,5882,0.934,602,0.129,555,0.068,375,0.046,184,0.022,291,0.035,494,0.06,953,0.116,877,0.107,786,0.096,489,0.06,538,0.066,628,0.077,601,0.073,400,0.049,436,0.053,270,0.033,131,0.016,42,0.005,150,0.018,4053,444,0.11,135,0.033,1214,0.3,2260,0.558,8120,6991,0.861,904,0.111,225,0.028,0,0,7,0,0.09,0,1354,64.5,4.8,43.5,3.2,5.5,0.4,4,0.3,1,0.1,1,0.1,11.5,0.8,8.5,0.6,136,10,6,0.4,196,14.5
Hamilton,Cincinnati,Oakley,11371,9620,0.846,780,0.069,511,0.045,10777,614,0.057,80,0.007,0.205,2012,33,0.016,6445,276,0.043,96635,364,0.032,9153,8790,0.96,534,0.075,594,0.052,247,0.022,225,0.02,248,0.022,904,0.08,2385,0.21,1981,0.174,950,0.084,432,0.038,179,0.016,353,0.031,424,0.037,793,0.07,497,0.044,329,0.029,245,0.022,191,0.017,394,0.035,6605,600,0.091,119,0.018,1638,0.248,4248,0.643,11165,7913,0.709,2009,0.18,1181,0.106,62,0.006,2,0,0.02,0,1154,55,4.8,36.5,3.2,1,0.1,0.5,0,0.5,0,0.5,0,3.5,0.3,2.5,0.2,65,5.6,2,0.2,65,5.6
Hamilton,Cincinnati,Over-the-Rhine,5657,3238,0.572,1981,0.35,100,0.018,5411,503,0.093,114,0.021,0.373,916,122,0.133,2976,710,0.239,75017,505,0.089,4308,3850,0.894,1148,0.274,246,0.043,153,0.027,253,0.045,177,0.031,520,0.092,900,0.159,720,0.127,371,0.066,337,0.06,250,0.044,428,0.076,573,0.101,257,0.045,249,0.044,88,0.016,31,0.005,57,0.01,47,0.008,3047,103,0.034,283,0.093,712,0.234,1949,0.64,5636,4006,0.711,1183,0.21,436,0.077,11,0.002,40,6.5,0.71,0.82,795,44.5,5.6,38,4.8,5,0.6,4.5,0.6,1.5,0.2,1.5,0.2,5,0.6,4,0.5,166,20.9,3,0.4,278,35
Hamilton,Cincinnati,Pendleton,1134,752,0.663,341,0.301,31,0.027,1068,4,0.004,0,0,0.31,192,32,0.167,509,72,0.141,76196,82,0.072,802,780,0.973,55,0.091,66,0.058,95,0.084,50,0.044,40,0.035,81,0.071,233,0.205,234,0.206,138,0.122,6,0.005,56,0.049,33,0.029,39,0.034,16,0.014,27,0.024,8,0.007,12,0.011,0,0,0,0,550,45,0.082,63,0.115,127,0.231,315,0.573,1125,909,0.808,146,0.13,61,0.054,9,0.008,4.5,1,0.4,0.4,251,23,9.2,10,4,2.5,1,2.5,1,10.5,4.2,1,0.4,3.5,1.4,2,0.8,26,10.4,0,0,64,25.5
Hamilton,Cincinnati,Pleasant Ridge,7978,5157,0.646,1842,0.231,193,0.024,7521,421,0.056,64,0.009,0.292,1948,281,0.144,3974,449,0.113,69220,381,0.048,5815,5300,0.911,312,0.072,457,0.057,426.3361,0.053,502,0.063,217,0.027,559,0.07,935,0.117,813,0.102,757,0.095,426,0.053,430,0.054,315,0.039,612,0.077,424,0.053,356,0.045,271,0.034,237,0.03,83,0.01,156,0.02,4051,529,0.131,470,0.116,871,0.215,2181,0.538,7883,6820,0.865,645,0.082,417,0.053,0,0,1.5,0,0.02,0,1557,72,4.6,61.5,3.9,5,0.3,5,0.3,2,0.1,1.5,0.1,9.5,0.6,7,0.4,160,10.3,7,0.4,151,9.7
Hamilton,Cincinnati,Riverside,1134,1044,0.921,49,0.043,16,0.014,1076,19,0.018,0,0,0.357,272,18,0.066,414,89,0.215,54580,122,0.108,843,645,0.765,35,0.063,58,0.051,90,0.079,21,0.019,6,0.005,116,0.102,133,0.117,38,0.034,68,0.06,102,0.09,27,0.024,39,0.034,89,0.078,123,0.108,64,0.056,47,0.041,14,0.012,96,0.085,3,0.003,517,86,0.166,14,0.027,189,0.366,228,0.441,1134,955,0.842,149,0.131,30,0.026,0,0,2,0.5,0.18,0.3,169,28.5,16.9,23.5,13.9,1.5,0.9,1,0.6,0,0,0,0,4.5,2.7,4,2.4,63,37.3,1,0.6,87,51.5
Hamilton,Cincinnati,Roll Hill,2503,234,0.093,2050,0.819,219,0.087,1955,115,0.059,12,0.006,0.757,754,588,0.78,861,660,0.767,12294,161,0.064,653,512,0.784,19,0.022,548,0.219,419,0.167,400,0.16,140,0.056,343,0.137,223,0.089,143,0.057,127,0.051,39,0.016,25,0.01,46,0.018,4,0.002,29,0.012,0,0,0,0,17,0.007,0,0,0,0,864,69,0.08,646,0.748,8,0.009,141,0.163,2452,1807,0.737,645,0.263,0,0,0,0,5.5,0.5,0.22,0.03,1444,66,4.6,50,3.5,6.5,0.4,5.5,0.4,0,0,0,0,4,0.3,4.5,0.3,144,10,1,0.1,547,37.9
Hamilton,Cincinnati,Roselawn,7467,884,0.118,6348,0.85,48,0.006,7044,13,0.002,6,0.001,0.486,1708,542,0.318,2948,662,0.225,32849,241,0.032,4826,3479,0.721,320,0.084,423,0.057,385.424,0.052,844,0.113,444,0.06,545,0.073,414,0.055,451,0.06,281,0.038,519,0.069,240,0.032,237,0.032,688,0.092,486,0.065,621,0.083,378,0.051,195,0.026,141,0.019,175,0.023,3473,373,0.108,624,0.18,498,0.143,1977,0.569,7289,6329,0.868,804,0.11,156,0.021,0,0,23,4,0.31,0.21,1887,80,4.2,54.5,2.9,5,0.3,5,0.3,0,0,0,0,15,0.8,9.5,0.5,249,13.2,7,0.4,414,21.9
Hamilton,Cincinnati,Sayler Park,2902,2614,0.901,125,0.043,96,0.033,2727,41,0.015,0,0,0.326,826,118,0.143,1287,248,0.193,72486,138,0.048,2076,1880,0.906,120,0.092,175,0.06,138,0.048,264,0.091,160,0.055,89,0.031,211,0.073,196,0.068,246,0.085,177,0.061,194,0.067,136,0.047,229,0.079,225,0.078,185,0.064,132,0.045,72,0.025,12,0.004,61,0.021,1186,196,0.165,131,0.11,467,0.394,392,0.331,2846,2343,0.823,496,0.174,7,0.002,0,0,0.5,0,0.02,0,710,15.5,2.2,13,1.8,1.5,0.2,1.5,0.2,0.5,0.1,0.5,0.1,2.5,0.4,2.5,0.4,45,6.3,1,0.1,38,5.4
Hamilton,Cincinnati,Sedamsville,1431,938,0.655,217,0.152,47,0.033,1246,40,0.032,0,0,0.571,289,95,0.329,530,108,0.204,44167,202,0.141,857,642,0.749,103,0.169,185,0.129,38,0.027,130,0.091,74,0.052,147,0.103,116,0.081,60,0.042,139,0.097,82,0.057,52,0.036,50,0.035,66,0.046,105,0.073,68,0.048,30,0.021,15,0.01,5,0.003,69,0.048,506,97,0.192,43,0.085,112,0.221,254,0.502,1383,908,0.657,451,0.326,0,0,24,0.017,1.5,0,0.1,0,408,6,1.5,5,1.2,0,0,0,0,0,0,0,0,2,0.5,1.5,0.4,22,5.4,0,0,23,5.6
Hamilton,Cincinnati,South Cumminsville,845,228,0.27,562,0.665,0,0,845,32,0.038,0,0,0.665,115,63,0.548,354,217,0.612,NA,36,0.043,453,425,0.938,67,0.159,0,0,68,0.08,151,0.179,92,0.109,81,0.096,0,0,67,0.079,142,0.168,12,0.014,15,0.018,55,0.065,17,0.02,36,0.043,15,0.018,56,0.066,20,0.024,0,0,18,0.021,354,8,0.023,90,0.254,0,0,256,0.723,845,591,0.699,254,0.301,0,0,0,0,5.5,0.5,0.65,0.18,282,9,3.2,8,2.8,1,0.4,1,0.4,0,0,0,0,0.5,0.2,0.5,0.2,39,13.8,0,0,71,25.2
Hamilton,Cincinnati,South Fairmount,1926,862,0.448,811,0.421,142,0.074,1771,16,0.009,0,0,0.524,312,98,0.314,879,317,0.361,28235,179,0.093,1261,1095,0.868,204,0.187,155,0.08,139,0.072,103,0.053,162,0.084,106,0.055,178,0.092,150,0.078,215,0.112,22,0.011,116,0.06,113,0.059,106,0.055,132,0.069,110,0.057,75,0.039,20,0.01,10,0.005,14,0.007,888,83,0.093,67,0.075,171,0.193,567,0.639,1897,1532,0.808,297,0.157,68,0.036,0,0,6,1.5,0.31,0.32,474,30,6.3,24,5.1,3,0.6,3,0.6,0.5,0.1,0.5,0.1,2,0.4,3.5,0.7,69,14.6,1,0.2,167,35.2
Hamilton,Cincinnati,Spring Grove Village,2220,738,0.332,1192,0.537,150,0.068,2132,165,0.077,51,0.024,0.395,494,36,0.073,885,233,0.263,45961,180,0.081,1444,1210,0.838,82,0.082,88,0.04,258,0.116,104,0.047,216,0.097,110,0.05,144,0.065,115,0.052,198,0.089,155,0.07,107,0.048,181,0.082,147,0.066,135,0.061,140,0.063,51,0.023,46,0.021,23,0.01,2,0.001,922,81,0.088,126,0.137,242,0.262,473,0.513,2201,1855,0.843,303,0.138,31,0.014,12,0.005,3,0,0.14,0,515,24.5,4.8,18.5,3.6,2.5,0.5,2.5,0.5,0,0,0,0,3.5,0.7,2.5,0.5,69,13.4,1,0.2,107,20.8
Hamilton,Cincinnati,Walnut Hills,6431,2393,0.372,3210,0.499,226,0.035,6121,273,0.045,47,0.008,0.478,1078,259,0.24,3661,1330,0.363,47020,382,0.059,4966,4060,0.818,819,0.182,310,0.048,301,0.047,63,0.01,348,0.054,443,0.069,951,0.148,584,0.091,415,0.065,402,0.063,375,0.058,387,0.06,456,0.071,380,0.059,508,0.079,235,0.037,102,0.016,64,0.01,107,0.017,3677,264,0.072,159,0.043,663,0.18,2591,0.705,6422,4643,0.723,1364,0.212,327,0.051,88,0.014,12.5,1,0.19,0.12,860,85.5,9.9,58.5,6.8,6,0.7,5,0.6,0.5,0.1,0.5,0.1,7.5,0.9,6.5,0.8,177,20.6,4,0.5,321,37.3
Hamilton,Cincinnati,West End,7486,1617,0.216,5222,0.698,139,0.019,6631,464,0.07,2,0,0.591,1589,752,0.473,3338,1745,0.523,29452,589,0.079,4555,3908,0.858,609,0.153,855,0.114,856,0.114,394,0.053,621,0.083,205,0.027,557,0.074,1034,0.138,520,0.069,242,0.032,537,0.072,280,0.037,267,0.036,435,0.058,306,0.041,200,0.027,59,0.008,46,0.006,72,0.01,3364,131,0.039,904,0.269,389,0.116,1940,0.577,7342,5913,0.805,1104,0.15,317,0.043,8,0.001,41,6.5,0.55,0.28,2339,108.5,4.6,82,3.5,22,0.9,15,0.6,2,0.1,1.5,0.1,12.5,0.5,9.5,0.4,319,13.6,5,0.2,701,30
Hamilton,Cincinnati,West Price Hill,17731,10385,0.586,5629,0.317,1314,0.074,16763,1565,0.093,301,0.018,0.404,3833,493,0.129,7178,1764,0.246,50320,1994,0.112,11036,9324,0.845,793,0.101,968,0.055,1273.1752999999999,0.072,1708,0.096,1489,0.084,1257,0.071,1167,0.066,1165,0.066,1351,0.076,1230,0.069,1119,0.063,864,0.049,1253,0.071,1136,0.064,623,0.035,464,0.026,331,0.019,145,0.008,188,0.011,7084,1329,0.188,736,0.104,1584,0.224,3435,0.485,17579,15456,0.879,1701,0.097,379,0.022,43,0.002,13,1.5,0.07,0.03,4992,296.5,5.9,211.5,4.2,12,0.2,11,0.2,3,0.1,3,0.1,0,0,36,0.7,616,12.3,19,0.4,1117,22.4
Hamilton,Cincinnati,Westwood,32479,11305,0.348,18081,0.557,1371,0.042,29067,4910,0.169,1263,0.043,0.408,7184,1432,0.199,14319,3013,0.21,46548,3042,0.094,21605,18822,0.871,1616,0.102,3412,0.105,1979.6893999999998,0.061,1953,0.06,1897,0.058,1633,0.05,3648,0.112,3055,0.094,2950,0.091,2062,0.063,1909,0.059,1504,0.046,1857,0.057,1379,0.042,1244,0.038,884,0.027,544,0.017,252,0.008,315,0.01,14232,2294,0.161,1713,0.12,2704,0.19,7522,0.529,31744,25372,0.799,5765,0.182,493,0.016,115,0.004,24.5,3.5,0.08,0.04,8732,458.5,5.3,333,3.8,29,0.3,26.5,0.3,9.5,0.1,8,0.1,0,0,47,0.5,1104,12.6,24,0.3,1997,22.9
Hamilton,Cincinnati,Winton Hills,6741,358,0.053,5739,0.851,355,0.053,5649,49,0.009,0,0,0.64,1565,1096,0.7,2662,1379,0.518,18744,533,0.079,2996,2432,0.812,47,0.017,1092,0.162,800,0.119,817,0.121,609,0.09,427,0.063,1103,0.164,577,0.086,185,0.027,144,0.021,210,0.031,0,0,105,0.016,282,0.042,126,0.019,114,0.017,82,0.012,23,0.003,45,0.007,2746,60,0.022,1323,0.482,120,0.044,1243,0.453,6344,5561,0.877,740,0.117,0,0,43,0.007,16.5,2.5,0.24,0.08,3304,108.5,3.3,85,2.6,12,0.4,11,0.3,2.5,0.1,2.5,0.1,20,0.6,13,0.4,402,12.2,11,0.3,689,20.9
Hamilton,Colerain Township,Colerain Township,59058,37269,0.631,15118,0.256,1131,0.019,55697,3263,0.059,839,0.015,0.262,15647,861,0.055,23189,2426,0.105,69569,2995,0.051,41230,37942,0.92,1464,0.059,3361,0.057,4011,0.068,4388,0.074,2913,0.049,3155,0.053,4326,0.073,4082,0.069,3538,0.06,2987,0.051,3414,0.058,3643,0.062,4940,0.084,4857,0.082,2956,0.05,2563,0.043,1435,0.024,1225,0.021,1264,0.021,23189,3918,0.169,1908,0.082,8343,0.36,9020,0.389,58337,52553,0.901,4544,0.078,1138,0.02,102,0.002,NA,NA,NA,NA,13453,642,4.8,477.5,3.5,35.5,0.3,31,0.2,9,0.1,8.5,0.1,51.5,0.4,80,0.6,1589,11.8,65,0.5,1779,13.2
Hamilton,Columbia Township,Columbia Township,4273,2708,0.634,1268,0.297,216,0.051,3898,259,0.066,0,0,0.218,858,151,0.176,1913,138,0.072,54316,289,0.068,2945,2753,0.935,0,0,375,0.088,151,0.035,214,0.05,165,0.039,423,0.099,523,0.122,392,0.092,403,0.094,122,0.029,155,0.036,118,0.028,420,0.098,242,0.057,155,0.036,240,0.056,52,0.012,73,0.017,50,0.012,1913,268,0.14,81,0.042,466,0.244,1098,0.574,4246,3468,0.817,532,0.125,212,0.05,34,0.008,NA,NA,NA,NA,861,28.5,3.3,21.5,2.5,0.5,0.1,0.5,0.1,0,0,0,0,4.5,0.5,3,0.3,63,7.3,2,0.2,44,5.1
Hamilton,Crosby Township,Crosby Township,5856,5580,0.953,0,0,57,0.01,5533,354,0.064,0,0,0.156,1750,29,0.017,2168,14,0.006,122895,12,0.002,4050,3858,0.953,108,0.047,323,0.055,531,0.091,590,0.101,179,0.031,183,0.031,322,0.055,421,0.072,586,0.1,632,0.108,366,0.062,333,0.057,504,0.086,112,0.019,397,0.068,101,0.017,92,0.016,113,0.019,71,0.012,2168,697,0.321,44,0.02,923,0.426,504,0.232,5839,5334,0.914,439,0.075,66,0.011,0,0,NA,NA,NA,NA,1571,58.5,3.7,36,2.3,3.5,0.2,3.5,0.2,0,0,0,0,6,0.4,4.5,0.3,114,7.3,2,0.1,22,1.4
Hamilton,Deer Park,Deer Park,5399,5155,0.955,103,0.019,37,0.007,4980,136,0.027,21,0.004,0.23,1425,117,0.082,2590,78,0.03,77710,206,0.038,4181,3987,0.954,177,0.064,419,0.078,123,0.023,206,0.038,228,0.042,242,0.045,484,0.09,490,0.091,335,0.062,287,0.053,265,0.049,333,0.062,468,0.087,526,0.097,415,0.077,291,0.054,111,0.021,28,0.005,148,0.027,2590,349,0.135,156,0.06,983,0.38,1102,0.425,5216,4723,0.905,399,0.076,74,0.014,20,0.004,NA,NA,NA,NA,934,51.5,5.5,38.5,4.1,0.5,0.1,0.5,0.1,2.5,0.3,1.5,0.2,7,0.7,6.5,0.7,84,9,3,0.3,42,4.5
Hamilton,Delhi Township,Delhi Township,28740,25864,0.9,1479,0.051,707,0.025,27148,1494,0.055,224,0.008,0.231,7438,470,0.063,10711,604,0.056,80454,1626,0.057,19228,17773,0.924,429,0.039,1592,0.055,1709,0.059,2395,0.083,2204,0.077,1612,0.056,1682,0.059,1992,0.069,1949,0.068,1593,0.055,1481,0.052,1875,0.065,1954,0.068,1598,0.056,1465,0.051,1317,0.046,897,0.031,534,0.019,891,0.031,10711,2687,0.251,554,0.052,3846,0.359,3624,0.338,28412,25366,0.893,2298,0.081,685,0.024,63,0.002,NA,NA,NA,NA,7036,289,4.1,208.5,3,7.5,0.1,6.5,0.1,1.5,0,1,0,0,0,36,0.5,558,7.9,15,0.2,412,5.9
Hamilton,Elmwood Place,Elmwood Place,2312,2019,0.873,109,0.047,37,0.016,2261,29,0.013,5,0.002,0.509,440,81,0.184,770,316,0.41,36773,240,0.104,1334,1044,0.783,190,0.198,51,0.022,151,0.065,352,0.152,256,0.111,168,0.073,155,0.067,171,0.074,116,0.05,50,0.022,124,0.054,156,0.067,124,0.054,63,0.027,173,0.075,121,0.052,52,0.022,11,0.005,18,0.008,770,94,0.122,81,0.105,99,0.129,496,0.644,2279,2048,0.899,231,0.101,0,0,0,0,NA,NA,NA,NA,689,42.5,6.2,25.5,3.7,6,0.9,4,0.6,0.5,0.1,0.5,0.1,8,1.2,4.5,0.7,77,11.2,3,0.4,111,16.1
Hamilton,Evendale,Evendale,2663,2172,0.816,110,0.041,76,0.029,2551,258,0.101,45,0.018,0.138,822,14,0.017,947,53,0.056,158618,172,0.065,1871,1822,0.974,31,0.032,112,0.042,206,0.077,149,0.056,231,0.087,94,0.035,32,0.012,52,0.02,200,0.075,143,0.054,218,0.082,142,0.053,194,0.073,251,0.094,282,0.106,142,0.053,95,0.036,72,0.027,48,0.018,947,255,0.269,24,0.025,517,0.546,151,0.159,2656,2519,0.948,84,0.032,53,0.02,0,0,NA,NA,NA,NA,630,26.5,4.2,13,2.1,0,0,0,0,0,0,0,0,1.5,0.2,1.5,0.2,22,3.5,0,0,7,1.1
Hamilton,Fairfax,Fairfax,1661,1537,0.925,66,0.04,79,0.048,1605,58,0.036,0,0,0.219,439,12,0.027,733,31,0.042,70750,67,0.04,1140,1076,0.944,19,0.025,56,0.034,111,0.067,160,0.096,121,0.073,73,0.044,127,0.076,150,0.09,112,0.067,111,0.067,155,0.093,96,0.058,95,0.057,91,0.055,51,0.031,46,0.028,32,0.019,36,0.022,38,0.023,733,111,0.151,102,0.139,212,0.289,308,0.42,1656,1509,0.911,124,0.075,16,0.01,7,0.004,NA,NA,NA,NA,393,20.5,5.2,15.5,3.9,0.5,0.1,0.5,0.1,1,0.3,1,0.3,1.5,0.4,1,0.3,32,8.1,2,0.5,3,0.8
Hamilton,Forest Park,Forest Park,20005,5511,0.275,11023,0.551,2302,0.115,19038,3455,0.181,1014,0.053,0.29,4867,276,0.057,7828,567,0.072,63690,1849,0.092,14036,12607,0.898,149,0.019,967,0.048,944,0.047,1209,0.06,1317,0.066,1532,0.077,1523,0.076,1542,0.077,1341,0.067,1240,0.062,975,0.049,1594,0.08,1102,0.055,1142,0.057,1143,0.057,1074,0.054,743,0.037,499,0.025,118,0.006,7828,1031,0.132,716,0.091,2206,0.282,3875,0.495,19827,17468,0.881,2024,0.102,239,0.012,96,0.005,NA,NA,NA,NA,3870,250,6.5,185.5,4.8,17,0.4,15.5,0.4,2,0.1,2,0.1,19,0.5,29.5,0.8,676,17.5,18,0.5,770,19.9
Hamilton,Glendale,Glendale,2154,1609,0.747,418,0.194,41,0.019,2053,43,0.021,0,0,0.225,567,47,0.083,926,31,0.033,100313,100,0.046,1512,1478,0.978,116,0.111,101,0.047,72,0.033,174,0.081,151,0.07,144,0.067,45,0.021,66,0.031,129,0.06,95,0.044,143,0.066,154,0.071,156,0.072,134,0.062,189,0.088,179,0.083,119,0.055,73,0.034,30,0.014,926,186,0.201,7,0.008,377,0.407,356,0.384,2120,1918,0.905,140,0.066,43,0.02,19,0.009,NA,NA,NA,NA,441,14,3.2,12.5,2.8,0,0,0,0,0,0,0,0,3.5,0.8,2.5,0.6,34,7.7,1,0.2,13,2.9
Hamilton,Golf Manor,Golf Manor,3786,1093,0.289,2260,0.597,78,0.021,3598,334,0.093,89,0.025,0.328,912,82,0.09,1699,345,0.203,48677,222,0.059,2780,2532,0.911,83,0.047,188,0.05,261,0.069,312,0.082,113,0.03,132,0.035,263,0.069,365,0.096,240,0.063,275,0.073,317,0.084,209,0.055,268,0.071,207,0.055,222,0.059,225,0.059,94,0.025,49,0.013,46,0.012,1699,300,0.177,139,0.082,383,0.225,877,0.516,3759,3637,0.968,103,0.027,9,0.002,10,0.003,NA,NA,NA,NA,874,61.5,7,42.5,4.9,3.5,0.4,3,0.3,1,0.1,1,0.1,8.5,1,6.5,0.7,149,17,2,0.2,174,19.9
Hamilton,Green Township,Green Township,60019,53421,0.89,3546,0.059,800,0.013,55790,2200,0.039,212,0.004,0.199,15910,557,0.035,23896,1225,0.051,84579,1778,0.03,40719,38851,0.954,921,0.037,4229,0.07,4621,0.077,4072,0.068,3986,0.066,2392,0.04,3280,0.055,4034,0.067,4494,0.075,3066,0.051,3227,0.054,4221,0.07,3731,0.062,3526,0.059,3436,0.057,2772,0.046,1969,0.033,1605,0.027,1358,0.023,23896,6013,0.252,1183,0.05,7943,0.332,8757,0.366,59184,53042,0.896,5479,0.093,637,0.011,26,0,NA,NA,NA,NA,15669,518.5,3.3,369,2.4,17.5,0.1,14,0.1,6.5,0,6,0,0,0,55,0.4,937,6,46,0.3,661,4.2
Hamilton,Greenhills,Greenhills,3703,2737,0.739,602,0.163,132,0.036,3475,124,0.036,10,0.003,0.246,903,70,0.078,1491,117,0.078,71979,194,0.052,2465,2333,0.946,52,0.034,228,0.062,276,0.075,277,0.075,179,0.048,278,0.075,109,0.029,338,0.091,280,0.076,252,0.068,117,0.032,235,0.063,273,0.074,255,0.069,196,0.053,82,0.022,80,0.022,55,0.015,193,0.052,1491,292,0.196,108,0.072,427,0.286,664,0.445,3689,3496,0.948,182,0.049,11,0.003,0,0,NA,NA,NA,NA,900,41,4.6,27.5,3.1,1,0.1,0.5,0.1,1,0.1,1,0.1,4,0.4,2.5,0.3,93,10.3,4,0.4,120,13.3
Hamilton,Harrison Township,Harrison Township,14460,13723,0.949,171,0.012,239,0.017,13758,263,0.019,10,0.001,0.201,3944,105,0.027,5741,308,0.054,88564,286,0.02,10290,9479,0.921,352,0.058,702,0.049,951,0.066,1196,0.083,763,0.053,558,0.039,687,0.048,1288,0.089,930,0.064,955,0.066,718,0.05,1198,0.083,808,0.056,1123,0.078,725,0.05,837,0.058,456,0.032,219,0.015,346,0.024,5741,1257,0.219,280,0.049,2264,0.394,1940,0.338,14327,12983,0.906,1238,0.086,106,0.007,0,0,NA,NA,NA,NA,3277,196,6,128.5,3.9,8,0.2,6,0.2,1,0,1,0,33.5,1,22,0.7,267,8.1,8,0.2,90,2.7
Hamilton,Indian Hill,Indian Hill,6051,5403,0.893,45,0.007,94,0.016,5859,553,0.094,60,0.01,0.09,2191,0,0,2421,39,0.016,218073,97,0.016,4638,4576,0.987,53,0.021,192,0.032,377,0.062,573,0.095,188,0.031,83,0.014,93,0.015,187,0.031,141,0.023,406,0.067,403,0.067,370,0.061,683,0.113,564,0.093,468,0.077,446,0.074,613,0.101,83,0.014,181,0.03,2421,560,0.231,39,0.016,1542,0.637,280,0.116,6006,5189,0.864,549,0.091,256,0.043,12,0.002,NA,NA,NA,NA,1312,23,1.8,22,1.7,1,0.1,1,0.1,0,0,0,0,3,0.2,3,0.2,102,7.8,2,0.2,2,0.2
